transactionID,step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,nameOrigJurisdiction,nameDestJurisdiction,isFraud
1,1,CASH_OUT,14121.82,C69062746,0,0,C100555887,52679,10963.66,UK mainland,UK mainland,0
2,1,CASH_IN,55837.16,C713898436,4849053.05,4904890.21,C100555887,66800.82,10963.66,UK mainland,UK mainland,0
3,1,CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,UK mainland,BVI,1
4,1,TRANSFER,235238.66,C1872047468,235238.66,0,C116289363,0,0,UK mainland,BVI,1
5,1,TRANSFER,25071.46,C669700766,25071.46,0,C1384210339,0,0,UK mainland,BVI,1
6,1,CASH_OUT,35063.63,C1635772897,35063.63,0,C1983025922,31140,7550.03,UK mainland,Panama,1
7,1,CASH_OUT,235238.66,C1499825229,235238.66,0,C2100440237,0,235238.66,UK mainland,Panama,1
8,1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,UK mainland,Panama,1
9,1,CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,UK mainland,T&T,1
10,1,CASH_OUT,1277212.77,C467632528,1277212.77,0,C716083600,0,2444985.19,UK mainland,T&T,1
11,1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,UK mainland,Fiji,1
12,2,CASH_OUT,14949.84,C395257482,14949.84,0,C1032986144,18161.79,33111.63,UK mainland,BVI,1
13,2,CASH_OUT,18627.02,C175961135,18627.02,0,C1711105800,147251.58,165878.6,UK mainland,BVI,1
14,2,TRANSFER,963532.14,C1440057381,963532.14,0,C268086000,0,0,UK mainland,Panama,1
15,2,TRANSFER,14949.84,C140702728,14949.84,0,C634210724,0,0,UK mainland,T&T,1
16,2,CASH_OUT,1096187.24,C77163673,1096187.24,0,C644345897,0,1096187.24,UK mainland,T&T,1
17,2,CASH_OUT,963532.14,C430329518,963532.14,0,C991505714,132382.57,1095914.71,UK mainland,Fiji,1
18,3,TRANSFER,16972.84,C2131723476,0,0,C1005928818,20462.56,37435.4,UK mainland,UK mainland,0
19,3,CASH_OUT,10539.37,C1984954272,10539.37,0,C124540047,0,10539.37,UK mainland,BVI,1
20,3,CASH_OUT,22877,C2126545173,22877,0,C573200870,0,22877,UK mainland,Anguilla,1
21,4,TRANSFER,86070.17,C1844941220,86070.17,0,C1191544932,0,0,UK mainland,BVI,1
22,4,CASH_OUT,169941.73,C2026325575,169941.73,0,C1394526584,0,169941.73,UK mainland,BVI,1
23,4,CASH_OUT,13707.11,C556223230,13707.11,0,C2094777811,0,13707.11,UK mainland,Panama,1
24,4,TRANSFER,169941.73,C540962910,169941.73,0,C2127862399,0,0,UK mainland,Panama,1
25,4,TRANSFER,13707.11,C17222024,13707.11,0,C410033330,0,0,UK mainland,Panama,1
26,4,TRANSFER,2930418.44,C2047521920,2930418.44,0,C449261773,0,0,UK mainland,Panama,1
27,4,CASH_OUT,86070.17,C1699873763,86070.17,0,C560041895,0,86070.17,UK mainland,Anguilla,1
28,4,CASH_OUT,10000000,C351297720,10000000,0,C766681183,0,9941904.21,UK mainland,T&T,1
29,4,CASH_OUT,2930418.44,C2044690596,2930418.44,0,C932583850,3616012.1,6963508.84,UK mainland,T&T,1
30,4,TRANSFER,10000000,C7162498,12930418.44,2930418.44,C945327594,0,0,UK mainland,T&T,1
31,5,TRANSFER,120074.73,C1409933277,120074.73,0,C162114152,0,0,UK mainland,BVI,1
32,5,TRANSFER,60726.57,C383882703,60726.57,0,C1807010830,0,0,UK mainland,BVI,1
33,5,TRANSFER,10119.47,C1775746074,10119.47,0,C746009679,0,0,UK mainland,T&T,1
34,5,CASH_OUT,60726.57,C840095827,60726.57,0,C803116137,13010502.78,13071229.35,UK mainland,T&T,1
35,5,CASH_OUT,10119.47,C213063852,10119.47,0,C922511709,0,10119.47,UK mainland,T&T,1
36,6,CASH_OUT,21696.81,C1481591973,0,0,C1005928818,63657.88,0,UK mainland,UK mainland,0
37,6,CASH_OUT,26222.49,C1522581380,0,0,C1005928818,37435.4,63657.88,UK mainland,UK mainland,0
38,6,CASH_OUT,30521.02,C1813769162,30521.02,0,C1249547869,0,30521.02,UK mainland,BVI,1
39,6,TRANSFER,13704,C1735554279,13704,0,C12793273,0,1658746.09,UK mainland,BVI,1
40,6,TRANSFER,216422,C666642000,216422,0,C1315078366,0,0,UK mainland,BVI,1
41,6,CASH_OUT,13704,C1421965867,13704,0,C1438594533,3382.84,143675.35,UK mainland,BVI,1
42,6,TRANSFER,17320.91,C788790720,17320.91,0,C1589547066,0,0,UK mainland,BVI,1
43,6,CASH_OUT,33332.86,C685428529,33332.86,0,C1626759869,31002,0,UK mainland,BVI,1
44,6,TRANSFER,33332.86,C2025652936,33332.86,0,C1662235713,0,0,UK mainland,BVI,1
45,6,TRANSFER,10565,C777407608,10565,0,C1790657739,0,0,UK mainland,BVI,1
